"","ID","Model","AIC","AICc","BIC","Response.var","Response.group","Curve.classification"
"129","26","Cubic","-40.8318018203384","-27.4984684870051","-40.4345941119392","gross photosynthesis rate","Photosynthesis","rising"
"130","26","Quadratic","-42.007010798088","-36.007010798088","-41.6892446313686","gross photosynthesis rate","Photosynthesis","rising"
"131","27","Yan and Hunt","-46.9913862002286","-33.6580528668953","-46.5941784918294","net photosynthesis rate","Photosynthesis","falling"
"132","27","Briere2","-40.6360627943423","-27.3027294610089","-40.2388550859431","net photosynthesis rate","Photosynthesis","falling"
"133","27","Briere","-39.3170359200295","-33.3170359200295","-38.9992697533101","net photosynthesis rate","Photosynthesis","falling"
"134","27","Cubic","-49.4650662407808","-36.1317329074474","-49.0678585323816","net photosynthesis rate","Photosynthesis","falling"
"135","27","Quadratic","-48.0578028290092","-42.0578028290092","-47.7400366622899","net photosynthesis rate","Photosynthesis","falling"
"136","28","Yan and Hunt","-37.8374815260665","-24.5041481927332","-37.4402738176673","respiration rate","Respiration","rising"
"137","28","Briere2","-32.657547014177","-19.3242136808437","-32.2603393057779","respiration rate","Respiration","rising"
"138","28","Briere","-34.2936483344713","-28.2936483344713","-33.9758821677519","respiration rate","Respiration","rising"
"139","28","Cubic","-39.1444793031347","-25.8111459698014","-38.7472715947355","respiration rate","Respiration","rising"
"140","28","Quadratic","-38.6982646287416","-32.6982646287416","-38.3804984620222","respiration rate","Respiration","rising"
"141","29","Yan and Hunt","-46.1419593936252","-32.8086260602919","-45.744751685226","gross photosynthesis rate","Photosynthesis","unimodal"
"142","29","Briere2","-42.4969180755188","-29.1635847421855","-42.0997103671196","gross photosynthesis rate","Photosynthesis","unimodal"
"143","29","Briere","-44.495820460397","-38.495820460397","-44.1780542936776","gross photosynthesis rate","Photosynthesis","unimodal"
"144","29","Cubic","-45.7187289498669","-32.3853956165335","-45.3215212414677","gross photosynthesis rate","Photosynthesis","unimodal"
"145","29","Quadratic","-46.4967153934537","-40.4967153934537","-46.1789492267344","gross photosynthesis rate","Photosynthesis","unimodal"
"146","30","Yan and Hunt","-44.9813838749291","-31.6480505415957","-44.5841761665299","net photosynthesis rate","Photosynthesis","unimodal"
"147","30","Briere2","-20.2395934519843","-6.90626011865101","-19.8423857435852","net photosynthesis rate","Photosynthesis","unimodal"
"148","30","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"149","30","Cubic","-47.7588857961135","-34.4255524627802","-47.3616780877144","net photosynthesis rate","Photosynthesis","unimodal"
"150","30","Quadratic","-42.88499887806","-36.88499887806","-42.5672327113407","net photosynthesis rate","Photosynthesis","unimodal"
"151","31","Yan and Hunt","-54.0061635008087","-40.6728301674753","-53.6089557924095","respiration rate","Respiration","non-typical"
"152","31","Briere2","-39.5401217663753","-26.206788433042","-39.1429140579762","respiration rate","Respiration","non-typical"
"153","31","Briere","-41.5343417455029","-35.5343417455029","-41.2165755787836","respiration rate","Respiration","non-typical"
"154","31","Cubic","-55.8612367021683","-42.5279033688349","-55.4640289937691","respiration rate","Respiration","non-typical"
"155","31","Quadratic","-51.9833820689376","-45.9833820689376","-51.6656159022182","respiration rate","Respiration","non-typical"
"156","32","Yan and Hunt","-18.93992407549","-5.60659074215665","-18.5427163670908","gross photosynthesis rate","Photosynthesis","unimodal"
"157","32","Briere2","-25.3699449287899","-12.0366115954565","-24.9727372203907","gross photosynthesis rate","Photosynthesis","unimodal"
"158","32","Briere","-22.0163175257508","-16.0163175257508","-21.6985513590314","gross photosynthesis rate","Photosynthesis","unimodal"
"159","32","Cubic","-24.0786230361924","-10.7452897028591","-23.6814153277932","gross photosynthesis rate","Photosynthesis","unimodal"
"160","32","Quadratic","-18.2350314654321","-12.2350314654321","-17.9172652987127","gross photosynthesis rate","Photosynthesis","unimodal"
"161","33","Yan and Hunt","-19.7273284663917","-6.3939951330584","-19.3301207579926","net photosynthesis rate","Photosynthesis","unimodal"
"162","33","Briere2","-16.8823324332425","-3.54899909990915","-16.4851247248433","net photosynthesis rate","Photosynthesis","unimodal"
"163","33","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"164","33","Cubic","-20.7780215150309","-7.44468818169755","-20.3808138066317","net photosynthesis rate","Photosynthesis","unimodal"
"165","33","Quadratic","-20.6650503810575","-14.6650503810575","-20.3472842143382","net photosynthesis rate","Photosynthesis","unimodal"
"166","34","Yan and Hunt","-28.5659818769563","-15.232648543623","-28.1687741685571","respiration rate","Respiration","rising"
"167","34","Briere2","-24.0652452340006","-10.7319119006673","-23.6680375256014","respiration rate","Respiration","rising"
"168","34","Briere",NA,NA,NA,"respiration rate","Respiration","rising"
"169","34","Cubic","-38.5211973270132","-25.1878639936799","-38.1239896186141","respiration rate","Respiration","rising"
"170","34","Quadratic","-30.0202193992231","-24.0202193992231","-29.7024532325038","respiration rate","Respiration","rising"
"171","35","Yan and Hunt","-14.4213443530024","-1.08801101966903","-14.0241366446032","gross photosynthesis rate","Photosynthesis","unimodal"
"172","35","Briere2","-13.7270806005225","-0.39374726718912","-13.3298728921233","gross photosynthesis rate","Photosynthesis","unimodal"
